10_internal_7789,6
17_internal_8231,4
1_internal_16047,4
10_internal_8245,1
3_internal_10816,11
3_internal_11810,3
1_internal_16355,3
6_internal_10481,4
2_internal_13334,1
5_internal_8201,8
11_internal_9931,5
5_internal_8448,7
4_internal_6993,1
21_internal_2547,5
6_internal_10573,1
2_internal_13345,3
17_internal_7737,5
6_internal_10512,17
5_internal_8189,6
11_internal_7766,16
6_internal_9889,4
13_internal_3755,8
15_internal_6100,11
8_internal_8933,16
1_internal_16097,5
12_internal_8565,10
1_internal_17069,20
11_internal_8327,5
1_internal_16018,3
6_internal_10068,1
14_internal_5404,14
5_internal_8392,12
