17_internal_7662,1
22_internal_3232,7
3_internal_10724,15
6_internal_9758,4
19_internal_6441,2
16_internal_5583,1
6_internal_9751,27
19_internal_6118,5
1_internal_15992,21
1_internal_15756,1
2_internal_13338,2
8_internal_6895,2
19_internal_6209,8
17_internal_8096,1
14_internal_5612,13
14_internal_5549,2
5_internal_8811,1
11_internal_7668,11
15_internal_5493,2
19_internal_6190,13
16_internal_5464,1
7_internal_7973,5
20_internal_4555,10
19_internal_5985,3
19_internal_6283,2
6_internal_9837,1
14_internal_5758,3
19_internal_5859,2
11_internal_7579,18
17_internal_7955,3
20_internal_4570,8
7_internal_8144,10
19_internal_5846,7
10_internal_7677,3
14_internal_5838,4
2_internal_13075,12
19_internal_6261,3
17_internal_8038,3
8_internal_7063,4
19_internal_6382,2
2_internal_14484,1
1_internal_15887,5
10_internal_10743,2
1_internal_15762,11
5_internal_8127,18
4_internal_7069,5
1_internal_16393,6
5_internal_8538,7
1_internal_16010,3
22_internal_3269,1
14_internal_5707,11
7_internal_8036,12
7_internal_7931,22
12_internal_8583,1
19_internal_5919,2
6_internal_9794,10
21_internal_2145,6
19_internal_6250,6
2_internal_13307,1
14_internal_5781,1
8_internal_7467,2
19_internal_6495,1
8_internal_6998,1
5_internal_8406,1
2_internal_14249,1
7_internal_8123,7
14_internal_5429,14
19_internal_6426,1
3_internal_11034,2
3_internal_11249,1
16_internal_5421,24
17_internal_7683,7
1_internal_15823,3
1_internal_16680,10
11_internal_8290,1
20_internal_4605,4
19_internal_5935,12
19_internal_5862,9
20_internal_4527,5
19_internal_5928,8
11_internal_7609,2
22_internal_3674,6
12_internal_8556,13
5_internal_11818,1
1_internal_16198,5
22_internal_3268,4
16_internal_5565,1
