22_internal_3424,1
17_internal_7920,1
16_internal_5608,7
7_internal_8132,4
10_internal_7663,1
10_internal_8215,3
8_internal_6976,1
11_internal_8775,2
1_internal_17298,4
8_internal_7016,2
2_internal_13496,4
2_internal_13637,4
10_internal_8200,1
14_internal_5885,7
19_internal_5899,1
10_internal_7527,6
11_internal_8218,2
3_internal_11026,3
9_internal_6506,2
6_internal_9918,4
5_internal_8206,6
18_internal_3044,5
22_internal_3216,3
21_internal_2563,2
14_internal_5413,2
19_internal_5928,3
19_internal_5901,2
13_internal_3928,2
9_internal_6481,7
3_internal_10926,1
11_internal_7480,8
3_internal_12855,2
17_internal_8010,5
2_internal_13046,6
11_internal_7853,4
8_internal_6686,10
12_internal_8561,3
8_internal_6780,3
19_internal_5786,3
5_internal_8999,1
20_internal_4925,3
17_internal_7818,6
1_internal_16463,2
2_internal_15709,1
22_internal_3341,2
11_internal_7526,2
6_internal_10303,3
19_internal_5834,1
19_internal_5825,4
11_internal_7547,2
