query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	5.43792950410669e-17	487	647	101	0.156105100463679	0.207392197125257	KEGG:05168	KEGG	Herpes simplex virus 1 infection	7788	423	KEGG:00000
query_1	TRUE	3.96696560978397e-15	14626	1354	1170	0.86410635155096	0.0799945302885273	GO:0005622	GO:CC	intracellular	18856	299	GO:0005575
query_1	TRUE	1.24635121976988e-10	10860	1294	909	0.702472952086553	0.0837016574585635	GO:0044237	GO:BP	cellular metabolic process	17906	12850	GO:0008152|GO:0009987
query_1	TRUE	1.46402211931484e-10	12840	1354	1038	0.766617429837519	0.0808411214953271	GO:0043229	GO:CC	intracellular organelle	18856	2152	GO:0005622|GO:0043226
query_1	TRUE	3.81766714202401e-10	12584	1354	1019	0.752584933530281	0.0809758423394787	GO:0043227	GO:CC	membrane-bounded organelle	18856	2150	GO:0043226
query_1	TRUE	1.12145443988523e-09	13720	1354	1091	0.80576070901034	0.0795189504373178	GO:0043226	GO:CC	organelle	18856	2149	GO:0110165
query_1	TRUE	2.64527675939984e-09	8429	1294	731	0.564914992272025	0.0867244038438723	GO:0044260	GO:BP	cellular macromolecule metabolic process	17906	12865	GO:0043170|GO:0044237
query_1	TRUE	5.06973936364344e-09	6393	1294	579	0.447449768160742	0.0905678085405913	GO:0031323	GO:BP	regulation of cellular metabolic process	17906	8336	GO:0019222|GO:0044237|GO:0050794
query_1	TRUE	5.36844307119981e-08	1199	858	158	0.184149184149184	0.131776480400334	REAC:R-HSA-212436	REAC	Generic Transcription Pathway	10594	891	REAC:R-HSA-73857
query_1	TRUE	6.39035853431941e-08	1454	858	183	0.213286713286713	0.12585969738652	REAC:R-HSA-74160	REAC	Gene expression (Transcription)	10594	889	REAC:0000000
query_1	TRUE	1.28768669645758e-07	11681	1294	949	0.73338485316847	0.0812430442599093	GO:0008152	GO:BP	metabolic process	17906	3576	GO:0008150
query_1	TRUE	2.22155182374998e-07	2524	1313	261	0.198781416603199	0.103407290015848	GO:0003677	GO:MF	DNA binding	18126	417	GO:0003676
query_1	TRUE	2.33246487549879e-07	6189	1294	554	0.428129829984544	0.0895136532557764	GO:0080090	GO:BP	regulation of primary metabolic process	17906	21309	GO:0019222|GO:0044238
query_1	TRUE	3.55314546874591e-07	10594	1294	872	0.673879443585781	0.082310741929394	GO:0044238	GO:BP	primary metabolic process	17906	12851	GO:0008152
query_1	TRUE	3.55430113514357e-07	1320	858	167	0.194638694638695	0.126515151515152	REAC:R-HSA-73857	REAC	RNA Polymerase II Transcription	10594	1618	REAC:R-HSA-74160
query_1	TRUE	3.65435989786311e-07	11067	1354	899	0.663958641063516	0.0812324929971989	GO:0043231	GO:CC	intracellular membrane-bounded organelle	18856	2154	GO:0043227|GO:0043229
query_1	TRUE	3.93158794633224e-07	6009	1294	539	0.416537867078825	0.0896987851555999	GO:0051171	GO:BP	regulation of nitrogen compound metabolic process	17906	15975	GO:0006807|GO:0019222
query_1	TRUE	6.20417928647204e-07	708	1294	98	0.0757341576506955	0.138418079096045	GO:0002263	GO:BP	cell activation involved in immune response	17906	934	GO:0001775|GO:0002252|GO:0006955
query_1	TRUE	9.88044683936207e-07	704	1294	97	0.0749613601236476	0.137784090909091	GO:0002366	GO:BP	leukocyte activation involved in immune response	17906	1037	GO:0002263|GO:0045321
query_1	TRUE	1.76125812262759e-06	11103	1294	903	0.697836166924266	0.0813293704404215	GO:0071704	GO:BP	organic substance metabolic process	17906	20042	GO:0008152
query_1	TRUE	1.77641961814305e-06	6982	1294	608	0.469860896445131	0.0870810655972501	GO:0019222	GO:BP	regulation of metabolic process	17906	6541	GO:0008152|GO:0050789
query_1	TRUE	1.83329364096764e-06	6308	1313	555	0.422696115765423	0.0879835129993659	GO:0043167	GO:MF	ion binding	18126	6846	GO:0005488
query_1	TRUE	4.71119084882612e-06	4227	1313	392	0.298552932216299	0.0927371658386562	GO:0046872	GO:MF	metal ion binding	18126	7414	GO:0043169
query_1	TRUE	5.46385219007433e-06	4321	1313	399	0.303884234577304	0.0923397361721824	GO:0043169	GO:MF	cation binding	18126	6848	GO:0043167
query_1	TRUE	5.73484992135238e-06	3235	1294	315	0.243431221020093	0.0973724884080371	GO:0002376	GO:BP	immune system process	17906	1047	GO:0008150
query_1	TRUE	9.61343894031189e-06	3698	1294	351	0.271251931993818	0.0949161709031909	GO:0006351	GO:BP	transcription, DNA-templated	17906	2393	GO:0010467|GO:0034645|GO:0097659
