query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	2.63432673738185e-24	487	23	22	0.956521739130435	0.0451745379876797	KEGG:05168	KEGG	Herpes simplex virus 1 infection	7788	423	KEGG:00000
query_1	TRUE	4.51201632501891e-21	1199	24	24	1	0.0200166805671393	REAC:R-HSA-212436	REAC	Generic Transcription Pathway	10594	891	REAC:R-HSA-73857
query_1	TRUE	4.63195689513155e-20	1320	24	24	1	0.0181818181818182	REAC:R-HSA-73857	REAC	RNA Polymerase II Transcription	10594	1618	REAC:R-HSA-74160
query_1	TRUE	4.80840040878835e-19	1454	24	24	1	0.0165061898211829	REAC:R-HSA-74160	REAC	Gene expression (Transcription)	10594	889	REAC:0000000
query_1	TRUE	6.43544172370132e-18	2524	30	27	0.9	0.0106973058637084	GO:0003677	GO:MF	DNA binding	18126	417	GO:0003676
query_1	TRUE	2.44894637272611e-17	3517	31	30	0.967741935483871	0.00852999715666761	GO:0006355	GO:BP	regulation of transcription, DNA-templated	17906	2397	GO:0006351|GO:0010468|GO:1903506|GO:2000112
query_1	TRUE	4.45028154849655e-17	3588	31	30	0.967741935483871	0.00836120401337793	GO:1903506	GO:BP	regulation of nucleic acid-templated transcription	17906	26795	GO:0097659|GO:2001141
query_1	TRUE	4.63937013441463e-17	3593	31	30	0.967741935483871	0.00834956860562204	GO:2001141	GO:BP	regulation of RNA biosynthetic process	17906	30604	GO:0010556|GO:0031326|GO:0032774|GO:0051252
query_1	TRUE	9.15142598256664e-17	4361	30	30	1	0.00687915615684476	GO:0003676	GO:MF	nucleic acid binding	18126	416	GO:0097159|GO:1901363
query_1	TRUE	1.0969359694433e-16	3698	31	30	0.967741935483871	0.00811249323958897	GO:0006351	GO:BP	transcription, DNA-templated	17906	2393	GO:0010467|GO:0034645|GO:0097659
query_1	TRUE	1.5868237638685e-16	3744	31	30	0.967741935483871	0.00801282051282051	GO:0097659	GO:BP	nucleic acid-templated transcription	17906	22372	GO:0032774
query_1	TRUE	1.77391803638185e-16	3758	31	30	0.967741935483871	0.00798296966471527	GO:0032774	GO:BP	RNA biosynthetic process	17906	9102	GO:0009059|GO:0016070|GO:0034654
query_1	TRUE	3.82585923326091e-16	3856	31	30	0.967741935483871	0.00778008298755187	GO:0051252	GO:BP	regulation of RNA metabolic process	17906	16042	GO:0016070|GO:0019219|GO:0060255
query_1	TRUE	1.49271991943697e-15	4036	31	30	0.967741935483871	0.00743310208126858	GO:2000112	GO:BP	regulation of cellular macromolecule biosynthetic process	17906	29614	GO:0010556|GO:0031326|GO:0034645
query_1	TRUE	2.68046630577287e-15	4116	31	30	0.967741935483871	0.00728862973760933	GO:0019219	GO:BP	regulation of nucleobase-containing compound metabolic process	17906	6538	GO:0006139|GO:0031323|GO:0051171|GO:0080090
query_1	TRUE	4.43178714005305e-15	4186	31	30	0.967741935483871	0.00716674629718108	GO:0010556	GO:BP	regulation of macromolecule biosynthetic process	17906	4759	GO:0009059|GO:0009889|GO:0060255
query_1	TRUE	5.88438357573299e-15	4226	31	30	0.967741935483871	0.00709891150023663	GO:0034654	GO:BP	nucleobase-containing compound biosynthetic process	17906	10095	GO:0006139|GO:0018130|GO:0019438|GO:0044271|GO:1901362
query_1	TRUE	9.33868512801967e-15	4292	31	30	0.967741935483871	0.00698974836905871	GO:0018130	GO:BP	heterocycle biosynthetic process	17906	6077	GO:0044249|GO:0046483
query_1	TRUE	1.00092967592062e-14	4302	31	30	0.967741935483871	0.00697350069735007	GO:0019438	GO:BP	aromatic compound biosynthetic process	17906	6741	GO:0006725|GO:0044249
query_1	TRUE	1.24825843875966e-14	4334	31	30	0.967741935483871	0.00692201199815413	GO:0031326	GO:BP	regulation of cellular biosynthetic process	17906	8339	GO:0009889|GO:0031323|GO:0044249
query_1	TRUE	2.19649569162901e-14	4417	31	30	0.967741935483871	0.00679194023092597	GO:0009889	GO:BP	regulation of biosynthetic process	17906	4260	GO:0009058|GO:0019222
query_1	TRUE	2.8159781500722e-14	4454	31	30	0.967741935483871	0.00673551863493489	GO:1901362	GO:BP	organic cyclic compound biosynthetic process	17906	24881	GO:1901360|GO:1901576
query_1	TRUE	1.52421577349638e-13	4714	31	30	0.967741935483871	0.00636402206194315	GO:0016070	GO:BP	RNA metabolic process	17906	5728	GO:0090304
query_1	TRUE	1.65435298931874e-13	4727	31	30	0.967741935483871	0.00634651999153797	GO:0010468	GO:BP	regulation of gene expression	17906	4701	GO:0010467|GO:0060255
query_1	TRUE	9.2106509616123e-13	5008	31	30	0.967741935483871	0.00599041533546326	GO:0034645	GO:BP	cellular macromolecule biosynthetic process	17906	10090	GO:0009059|GO:0044249|GO:0044260
query_1	TRUE	9.2106509616123e-13	5008	31	30	0.967741935483871	0.00599041533546326	GO:0044271	GO:BP	cellular nitrogen compound biosynthetic process	17906	12872	GO:0034641|GO:0044249
query_1	TRUE	2.33094574236401e-12	5167	31	30	0.967741935483871	0.00580607702728856	GO:0009059	GO:BP	macromolecule biosynthetic process	17906	3707	GO:0043170|GO:1901576
query_1	TRUE	2.93077783185964e-12	5207	31	30	0.967741935483871	0.00576147493758402	GO:0090304	GO:BP	nucleic acid metabolic process	17906	21776	GO:0006139|GO:0043170
query_1	TRUE	5.43958777632254e-12	4227	30	27	0.9	0.0063875088715401	GO:0046872	GO:MF	metal ion binding	18126	7414	GO:0043169
query_1	TRUE	5.5816385645101e-12	6290	30	30	1	0.00476947535771065	GO:1901363	GO:MF	heterocyclic compound binding	18126	11856	GO:0005488
query_1	TRUE	8.43618102161864e-12	6377	30	30	1	0.00470440646071821	GO:0097159	GO:MF	organic cyclic compound binding	18126	10395	GO:0005488
query_1	TRUE	9.67904688755146e-12	4321	30	27	0.9	0.00624855357556121	GO:0043169	GO:MF	cation binding	18126	6848	GO:0043167
query_1	TRUE	3.70651387823631e-11	5672	31	30	0.967741935483871	0.00528913963328632	GO:0010467	GO:BP	gene expression	17906	4700	GO:0043170
query_1	TRUE	5.16837860912603e-11	5736	31	30	0.967741935483871	0.00523012552301255	GO:0006139	GO:BP	nucleobase-containing compound metabolic process	17906	2200	GO:0006725|GO:0034641|GO:0044238|GO:0046483|GO:1901360
query_1	TRUE	1.25232555370138e-10	5910	31	30	0.967741935483871	0.0050761421319797	GO:0046483	GO:BP	heterocycle metabolic process	17906	14452	GO:0044237
query_1	TRUE	1.57540327176487e-10	5956	31	30	0.967741935483871	0.00503693754197448	GO:0006725	GO:BP	cellular aromatic compound metabolic process	17906	2736	GO:0044237
query_1	TRUE	2.04766692709882e-10	6009	31	30	0.967741935483871	0.00499251123315028	GO:0051171	GO:BP	regulation of nitrogen compound metabolic process	17906	15975	GO:0006807|GO:0019222
query_1	TRUE	4.65133918259711e-10	6178	31	30	0.967741935483871	0.00485594043379735	GO:0044249	GO:BP	cellular biosynthetic process	17906	12858	GO:0009058|GO:0044237
query_1	TRUE	4.80972203562995e-10	6185	31	30	0.967741935483871	0.00485044462409054	GO:1901360	GO:BP	organic cyclic compound metabolic process	17906	24879	GO:0071704
query_1	TRUE	4.90255055489307e-10	6189	31	30	0.967741935483871	0.00484730974309258	GO:0080090	GO:BP	regulation of primary metabolic process	17906	21309	GO:0019222|GO:0044238
query_1	TRUE	7.16663899763194e-10	6269	31	30	0.967741935483871	0.00478545222523528	GO:1901576	GO:BP	organic substance biosynthetic process	17906	25078	GO:0009058|GO:0071704
query_1	TRUE	1.15463082326261e-09	6371	31	30	0.967741935483871	0.00470883691728143	GO:0009058	GO:BP	biosynthetic process	17906	3706	GO:0008152
query_1	TRUE	1.27840998497321e-09	6393	31	30	0.967741935483871	0.00469263256687001	GO:0031323	GO:BP	regulation of cellular metabolic process	17906	8336	GO:0019222|GO:0044237|GO:0050794
query_1	TRUE	1.57270914035013e-09	6438	31	30	0.967741935483871	0.00465983224603914	GO:0060255	GO:BP	regulation of macromolecule metabolic process	17906	17386	GO:0019222|GO:0043170
query_1	TRUE	2.16438664125429e-09	6508	31	30	0.967741935483871	0.00460971112476952	GO:0034641	GO:BP	cellular nitrogen compound metabolic process	17906	10086	GO:0006807|GO:0044237
query_1	TRUE	1.72095128709583e-08	6982	31	30	0.967741935483871	0.00429676310512747	GO:0019222	GO:BP	regulation of metabolic process	17906	6541	GO:0008152|GO:0050789
query_1	TRUE	1.74251140809777e-07	6308	30	27	0.9	0.00428027901077996	GO:0043167	GO:MF	ion binding	18126	6846	GO:0005488
query_1	TRUE	2.1269280316108e-07	7486	30	28	0.933333333333333	0.00374031525514293	GO:0005634	GO:CC	nucleus	18856	310	GO:0043231
query_1	TRUE	4.32531251514409e-06	8429	31	30	0.967741935483871	0.00355914106062404	GO:0044260	GO:BP	cellular macromolecule metabolic process	17906	12865	GO:0043170|GO:0044237
